집계일자,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20210401,7709836,314354,367086,331590,504803,412050,9639719
20210402,8524807,300248,357393,318176,484705,440936,10426265
20210403,7609735,136371,190748,134890,239181,330280,8641205
20210404,7150892,62547,122341,59650,62330,299242,7757002
20210405,7849445,291134,346227,292179,462187,417438,9658610
20210406,7583321,311036,366303,338548,514118,412643,9525969
20210407,7576437,305799,361161,326293,511227,408010,9488927
20210408,7701659,305530,362116,327202,511708,411288,9619503
20210409,8709849,306145,359656,321620,498153,446682,10642105
20210410,9276837,157995,206103,151864,274754,393235,10460788
20210411,8428736,72755,128473,63009,80093,343096,9116162
20210412,7258654,268389,333480,277012,451656,389933,8979124
20210413,7354152,292626,351194,313111,470753,402337,9184173
20210414,7643326,309530,362947,331382,515050,412159,9574394
20210415,7762641,312568,370124,333749,524196,416367,9719645
20210416,8463492,293251,358780,312885,498138,438819,10365365
20210417,8724558,153730,206780,151777,281515,376032,9894392
20210418,8031676,71382,131408,66145,82043,330688,8713342
20210419,7819313,294270,350158,302304,492597,418165,9676807
20210420,7624779,314686,369697,343130,526714,409939,9588945
20210421,7614745,306510,364848,332363,519281,405888,9543635
20210422,7695628,306821,362967,330276,516079,406963,9618734
20210423,8625127,304954,363516,317692,497982,443843,10553114
20210424,8940209,153436,206146,148811,276050,384105,10108757
20210425,8143539,69743,128471,62554,76765,332730,8813802
20210426,7826583,294610,352844,306587,488384,421822,9690830
20210427,7574722,313422,370694,344762,527426,412026,9543052
20210428,7640152,308642,367383,335676,525772,412274,9589899
20210429,7758772,311945,372130,340266,530998,417726,9731837
20210430,8923126,295952,361540,316772,486573,455739,10839702
